"","Year","State","Fruit","Category","Item","Meas Type","Metric","Domain","Type","Name","Code","Value"
"12",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN ","128111","(D)"
"13",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE ","26202","(D)"
"14",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," INSECTICIDE","PERMETHRIN ","109701","(D)"
"15",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901 ","115003","(NA)"
"16",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / YEAR","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN ","128111","(D)"
"17",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / YEAR","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE ","26202","(D)"
"18",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / YEAR","CHEMICAL"," INSECTICIDE","PERMETHRIN ","109701","(D)"
"19",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / YEAR","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901 ","115003","(NA)"
"20",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN NUMBER","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN ","128111","(D)"
"21",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN NUMBER","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE ","26202","(D)"
"22",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN NUMBER","CHEMICAL"," INSECTICIDE","PERMETHRIN ","109701","(D)"
"23",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," APPLICATIONS"," AVG"," MEASURED IN NUMBER","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901 ","115003","(D)"
"24",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," TREATED"," AVG"," MEASURED IN PCT OF AREA BEARING","CHEMICAL"," FUNGICIDE","OXATHIAPIPROLIN ","128111","(D)"
"25",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," TREATED"," AVG"," MEASURED IN PCT OF AREA BEARING","CHEMICAL"," INSECTICIDE","CYCLANILIPROLE ","26202","(D)"
"26",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," TREATED"," AVG"," MEASURED IN PCT OF AREA BEARING","CHEMICAL"," INSECTICIDE","PERMETHRIN ","109701","(D)"
"27",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," TREATED"," AVG"," MEASURED IN PCT OF AREA BEARING","CHEMICAL"," OTHER","ISARIA FUMOSOROSEA STRAIN FE 9901 ","115003","(D)"
"28",2023,"CALIFORNIA","STRAWBERRIES","STRAWBERRIES "," YIELD",NA," MEASURED IN CWT / ACRE","TOTAL",NA,NA,NA,"575"
"29",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","AZOXYSTROBIN ","128810","3,300"
"30",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747 ","16482","(NA)"
"31",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","BACILLUS SUBTILIS ","6479","(NA)"
"32",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","BLAD ","30006","(D)"
"33",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","BORAX DECAHYDRATE ","11102","2,800"
"34",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","BOSCALID ","128008","6,600"
"35",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19 ","6544","(NA)"
"36",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","CAPTAN ","81301","603,100"
"37",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","CYFLUFENAMID ","555550","(D)"
"38",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","CYPRODINIL ","288202","30,300"
"39",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","DIFENOCONAZOLE ","128847","(D)"
"40",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","FENHEXAMID ","90209","8,600"
"41",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","FLUDIOXONIL ","71503","22,400"
"42",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","FLUOPYRAM ","80302","14,600"
"43",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","FLUXAPYROXAD ","138009","7,100"
"44",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","FOSETYL-AL ","123301","(D)"
"45",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","ISOFETAMID ","270000","(D)"
"46",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","MEFENOXAM ","113502","7,200"
"47",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","MONO-POTASSIUM SALT ","76416","(D)"
"48",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","MYCLOBUTANIL ","128857","10,800"
"49",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PENTHIOPYRAD ","90112","4,000"
"50",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","POLYOXIN D ZINC SALT ","230000","3,300"
"51",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PROPICONAZOLE ","122101","2,300"
"52",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PYDIFLUMETOFEN ","90110","(D)"
"53",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PYRACLOSTROBIN ","99100","10,600"
"54",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","PYRIMETHANIL ","288201","8,300"
"55",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","QUINOLINE ","55459","3,600"
"56",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","SULFUR ","77501","1,258,100"
"57",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","TETRACONAZOLE ","120603","1,300"
"58",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","THIOPHANATE-METHYL ","102001","10,600"
"59",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","THIRAM ","79801","269,500"
"60",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","TOTAL",NA,"2,338,800"
"61",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","TRIFLOXYSTROBIN ","129112","14,600"
"62",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," FUNGICIDE","TRIFLUMIZOLE ","128879","(D)"
"63",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," HERBICIDE","CARFENTRAZONE-ETHYL ","128712","(D)"
"64",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," HERBICIDE","FLUMIOXAZIN ","129034","3,900"
"65",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," HERBICIDE","OXYFLUORFEN ","111601","(D)"
"66",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," HERBICIDE","PENDIMETHALIN ","108501","71,400"
"67",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," HERBICIDE","TOTAL",NA,"89,700"
"68",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","ABAMECTIN ","122804","300"
"69",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","ACEQUINOCYL ","6329","12,800"
"70",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","ACETAMIPRID ","99050","3,300"
"71",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","AZADIRACHTIN ","121701","2,800"
"72",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BEAUVERIA BASSIANA ","128924","(NA)"
"73",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BIFENAZATE ","586","28,700"
"74",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BIFENTHRIN ","128825","4,600"
"75",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BT KURSTAK ABTS-1857 ","6523","(NA)"
"76",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BT KURSTAKI ABTS-351 ","6522","(NA)"
"77",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","BT KURSTAKI SA-11 ","6519","(NA)"
"78",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CANOLA OIL ","11332","(D)"
"79",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CHLORANTRANILIPROLE ","90100","2,000"
"80",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA ","16329","(NA)"
"81",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CYANTRANILIPROLE ","90098","1,700"
"82",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","CYFLUMETOFEN ","138831","7,600"
"83",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","ETOXAZOLE ","107091","(D)"
"84",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","FENBUTATIN-OXIDE ","104601","(D)"
"85",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","FENPROPATHRIN ","127901","6,600"
"86",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","FENPYROXIMATE ","129131","(D)"
"87",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","FLONICAMID ","128016","6,200"
"88",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","FLUPYRADIFURONE ","122304","5,000"
"89",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","HEXYTHIAZOX ","128849","5,400"
"90",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","IMIDACLOPRID ","129099","3,100"
"91",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","LAMBDA-CYHALOTHRIN ","128897","(D)"
"92",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","MALATHION ","57701","19,400"
"93",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","METHOXYFENOZIDE ","121027","7,900"
"94",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","NALED ","34401","(D)"
"95",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","NEEM OIL ","25006","(D)"
"96",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","NEEM OIL, CLAR. HYD. ","25007","(D)"
"97",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","NOVALURON ","124002","5,600"
"98",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","PIPERONYL BUTOXIDE ","67501","(D)"
"99",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","PYRETHRINS ","69001","(D)"
"100",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","PYRIDABEN ","129105","(D)"
"101",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","SPINETORAM ","110007","3,800"
"102",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","SPINOSAD ","110003","2,000"
"103",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","THIAMETHOXAM ","60109","1,300"
"104",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," INSECTICIDE","TOTAL",NA,"231,600"
"105",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","ACIBENZOLAR-S-METHYL ","61402","(D)"
"106",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","CAPSICUM OLEORESIN EXTRACT ","70704","(NA)"
"107",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","CHLOROPICRIN ","81501","11,299,000"
"108",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","DICHLOROPROPENE ","29001","1,642,600"
"109",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","FLUTRIAFOL ","128940","3,900"
"110",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","GARLIC OIL ","128827","(D)"
"111",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","HYDROGEN PEROXIDE ","595","(D)"
"112",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","IRON PHOSPHATE ","34903","(D)"
"113",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","METALDEHYDE ","53001","(D)"
"114",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","METAM-POTASSIUM ","39002","(D)"
"115",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","METAM-SODIUM ","39003","(D)"
"116",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","PEROXYACETIC ACID ","63201","(D)"
"117",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","PSEUDOMONAS CHLORORAPHIS STRAIN AFS009 ","6800","(NA)"
"118",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","REYNOUTRIA SACHALINE ","55809","(D)"
"119",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","CHEMICAL"," OTHER","TOTAL",NA,"15,611,900"
"120",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","FERTILIZER",NA,"NITROGEN",NA,"393,000"
"121",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","FERTILIZER",NA,"PHOSPHATE",NA,"216,000"
"122",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","FERTILIZER",NA,"POTASH",NA,"393,000"
"123",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS",NA," MEASURED IN LB","FERTILIZER",NA,"SULFUR",NA,"(D)"
"124",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","AZOXYSTROBIN ","128810","0.234"
"125",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BACILLUS AMYLOLIQUEFACIENS STRAIN D747 ","16482","(NA)"
"126",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BACILLUS SUBTILIS ","6479","(NA)"
"127",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BLAD ","30006","(D)"
"128",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BORAX DECAHYDRATE ","11102","0.042"
"129",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BOSCALID ","128008","0.354"
"130",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","BT SUBSP KURSTAKI EVB-113-19 ","6544","(NA)"
"131",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","CAPTAN ","81301","1.693"
"132",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","CYFLUFENAMID ","555550","(D)"
"133",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","CYPRODINIL ","288202","0.316"
"134",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","DIFENOCONAZOLE ","128847","(D)"
"135",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FENHEXAMID ","90209","0.659"
"136",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FLUDIOXONIL ","71503","0.211"
"137",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FLUOPYRAM ","80302","0.119"
"138",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FLUXAPYROXAD ","138009","0.161"
"139",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","FOSETYL-AL ","123301","(D)"
"140",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","ISOFETAMID ","270000","(D)"
"141",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","MEFENOXAM ","113502","0.5"
"142",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","MONO-POTASSIUM SALT ","76416","(D)"
"143",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","MYCLOBUTANIL ","128857","0.105"
"144",2023,"CALIFORNIA","STRAWBERRIES","BEARING "," APPLICATIONS"," AVG"," MEASURED IN LB / ACRE / APPLICATION","CHEMICAL"," FUNGICIDE","PENTHIOPYRAD ","90112","0.271"
