"","Year","State","State ANSI","Commodity","Fruit","Category","Item","Metric","Domain","Domain Category","Value","CV (%)"
"65",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (10,000 TO 24,999 $)","178,428,000","10.8"
"66",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (25,000 TO 49,999 $)","225,741,000","9.3"
"67",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (5,000 TO 9,999 $)","42,488,000","11.8"
"68",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (50,000 OR MORE $)","3,664,599,000","10.8"
"69",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - LOSS"," MEASURED IN $","NET LOSS","NET LOSS: (LESS THAN 1,000 $)","474,000","10.3"
"70",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - LOSS"," MEASURED IN $","TOTAL","NOT SPECIFIED","4,126,522,000","10.2"
"71",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (1,000 TO 1,999 ACRES)","1,892,878,000","14.7"
"72",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (1.0 TO 9.9 ACRES)","-46,056,000","(H)"
"73",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (10.0 TO 49.9 ACRES)","357,332,000","82.8"
"74",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (100 TO 139 ACRES)","191,307,000","31.1"
"75",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (140 TO 179 ACRES)","253,627,000","31.6"
"76",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (180 TO 219 ACRES)","282,964,000","14.5"
"77",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (2,000 OR MORE ACRES)","5,075,486,000","8.0"
"78",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (220 TO 259 ACRES)","126,638,000","20.7"
"79",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (260 TO 499 ACRES)","1,321,748,000","11.9"
"80",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (50.0 TO 69.9 ACRES)","134,158,000","62.1"
"81",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (500 TO 999 ACRES)","1,847,524,000","19.7"
"82",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","AREA OPERATED","AREA OPERATED: (70.0 TO 99.9 ACRES)","236,584,000","52.2"
"83",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000 TO 2,499 $)","-64,878,000","-30.9"
"84",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (1,000,000 OR MORE $)","12,226,709,000","6.4"
"85",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (10,000 TO 24,999 $)","-106,305,000","-27.8"
"86",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (100,000 TO 249,999 $)","-71,525,000","-70.3"
"87",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (2,500 TO 4,999 $)","-81,775,000","-22.7"
"88",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (25,000 TO 49,999 $)","-113,434,000","-26.8"
"89",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (250,000 TO 499,999 $)","188,319,000","73.6"
"90",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (5,000 TO 9,999 $)","-104,173,000","-18.8"
"91",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (50,000 TO 99,999 $)","-33,492,000","(H)"
"92",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (500,000 TO 999,999 $)","228,455,000","83.8"
"93",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","ECONOMIC CLASS","ECONOMIC CLASS: (LESS THAN 1,000 $)","-393,713,000","-12.2"
"94",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (1,000 TO 2,499 $)","-61,265,000","-36.6"
"95",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (1,000,000 OR MORE $)","12,219,729,000","6.4"
"96",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (10,000 TO 24,999 $)","-101,379,000","-29.6"
"97",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (100,000 TO 249,999 $)","-57,684,000","-88.6"
"98",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (2,500 TO 4,999 $)","-81,058,000","-22.6"
"99",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (25,000 TO 49,999 $)","-113,211,000","-25.0"
"100",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (250,000 TO 499,999 $)","203,678,000","70.5"
"101",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (5,000 TO 9,999 $)","-92,079,000","-16.0"
"102",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (50,000 TO 99,999 $)","-31,056,000","(H)"
"103",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (500,000 TO 999,999 $)","209,182,000","88.7"
"104",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","FARM SALES","FARM SALES: (LESS THAN 1,000 $)","-420,669,000","-10.7"
"105",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1111)","328,698,000","52.3"
"106",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1112)","3,018,756,000","14.6"
"107",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1113)","3,824,571,000","19.4"
"108",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1114)","779,227,000","56.2"
"109",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1119)","721,365,000","27.8"
"110",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11192)","63,297,000","19.2"
"111",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11193 & 11194 & 11199)","658,069,000","30.1"
"112",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (112111)","110,554,000","32.5"
"113",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (112112)","39,371,000","10.7"
"114",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (11212)","2,612,726,000","2.7"
"115",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1122)","553,000","(H)"
"116",2022,"CALIFORNIA","06","INCOME, NET CASH FARM","INCOME"," NET CASH FARM"," OF PRODUCERS - NET INCOME"," MEASURED IN $","NAICS CLASSIFICATION","NAICS CLASSIFICATION: (1123)","377,554,000","8.1"
